id,rank,training_name,training_type,hours
602,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
603,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
604,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
605,Patrol Officer,Crisis Intervention Team (CIT) Training,Police Training,40
606,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
607,Patrol Officer,MCOLES Active Duty Firearm Standard 2019,Police Training,1
608,Patrol Officer,TSC Watchlisting Training,Police Training,1
609,Patrol Officer,19-905 OWI Investigations,Police Training,1
610,Patrol Officer,Rifle Instructor Training & Curriculum Development,Police Training,8
611,Patrol Officer,Outdoor Rifle Training,Police Training,9
612,Patrol Officer,Rifle Training and Qualification,Police Training,8
613,Patrol Officer,Firearms Training/Qualification,Police Training,1
614,Patrol Officer,Firearms Training/Qualification,Police Training,1
615,Patrol Officer,Firearms Training/Qualification,Police Training,1
616,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
617,Patrol Officer,Hazardous Materials 2019,Police Training,1
618,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
619,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
620,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
621,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
622,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
623,Patrol Officer,2019 ALICE Methodology,Police Training,1
624,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
625,Patrol Officer,2019 Below 100,Police Training,1
626,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
627,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
628,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
629,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
630,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
631,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
632,Patrol Officer,2019 Accreditation Review,Police Training,1
633,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
634,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
635,Patrol Officer,Gracie Survival Tactics - Instructor,Police Training,40
636,Patrol Officer,4th Annual Active Assailant Confrence,Police Training,16
637,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
638,Patrol Officer,MILO Simulator Training,Police Training,24
639,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
640,Patrol Officer,MCOLES Active Duty Firearm Standard 2019,Police Training,1
641,Patrol Officer,TSC Watchlisting Training,Police Training,1
642,Patrol Officer,19-905 OWI Investigations,Police Training,1
643,Patrol Officer,Response to Resistance Annual Cadre Meeting,Police Training,8
644,Detective,Every Officer a Leader,Police Training,16
645,Detective,Outdoor Rifle Training,Police Training,9
646,Detective,Outdoor Rifle Training,Police Training,9
647,Detective,Rifle Training and Qualification,Police Training,8
648,Detective,South West Oakland SRT Alpena Training Week,Police Training,30
649,Detective,Firearms Training/Qualification,Police Training,1
650,Detective,Firearms Training/Qualification,Police Training,1
651,Detective,Firearms Training/Qualification,Police Training,1
652,Detective,Emergency Vehicle Operations (EVO),Police Training,8
653,Detective,2019 Bloodborne Pathogens ,Police Training,1
654,Detective,Hazardous Materials 2019,Police Training,1
655,Detective,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
656,Detective,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
657,Detective,2019 Response to Resistance Scenarios,Police Training,4
658,Detective,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
659,Detective,2019 Home Made Explosives Recognition,Police Training,1
660,Detective,2019 ALICE Methodology,Police Training,1
661,Detective,2019 Community Policing / Problem Solving,Police Training,1
662,Detective,2019 Below 100,Police Training,1
663,Detective,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
664,Detective,2019 Employee Asssistance Program,Police Training,1
665,Detective,2019 52-1 District Court Update ,Police Training,2
666,Detective,2019 LEIN / MICR / Booking Update,Police Training,2
667,Detective,2019 Resiliance and Self Care for First Repsonders,Police Training,2
668,Detective,Ethical Decision Making and Intervention,Police Training,1
669,Detective,2019 Accreditation Review,Police Training,1
670,Detective,Michigan State Police Security Awareness Training Level 1,Police Training,1
671,Detective,Michigan State Police Security Awareness Training Level 2,Police Training,1
672,Detective,Michigan State Police Security Awareness Training Level 3,Police Training,1
673,Detective,Veterans Affairs S.A.V.E Training,Police Training,1
674,Detective,Office of Highway Safety Planning OWI Investigations,Police Training,1
675,Detective,MCOLES Active Duty Firearm Standard 2019,Police Training,1
676,Detective,TSC Watchlisting Training,Police Training,1
677,Detective,19-905 OWI Investigations,Police Training,1
678,Patrol Officer,Datamaster DMT,Police Training,2.5
679,Patrol Officer,REID Technique of Interview and Interrogation,Police Training,32
680,Patrol Officer,Every Officer a Leader,Police Training,16
681,Patrol Officer,Outdoor Rifle Training,Police Training,9
682,Patrol Officer,Rifle Training and Qualification,Police Training,8
683,Patrol Officer,OakTac Active Shooter Response Training,Police Training,16
684,Patrol Officer,Firearms Training/Qualification,Police Training,1
685,Patrol Officer,Firearms Training/Qualification,Police Training,1
686,Patrol Officer,Firearms Training/Qualification,Police Training,1
687,Patrol Officer,Emergency Vehicle Operations (EVO),Police Training,8
688,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
689,Patrol Officer,Hazardous Materials 2019,Police Training,1
690,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
691,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
692,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
693,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
694,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
695,Patrol Officer,2019 ALICE Methodology,Police Training,1
696,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
697,Patrol Officer,2019 Below 100,Police Training,1
698,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
699,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
700,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
701,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
702,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
703,Patrol Officer,2019 Accreditation Training,Community Policing,1
704,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
705,Patrol Officer,2019 Accreditation Review,Police Training,1
706,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
707,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
708,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
709,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
710,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
711,Patrol Officer,MCOLES Active Duty Firearm Standard 2019,Police Training,1
712,Patrol Officer,TSC Watchlisting Training,Police Training,1
713,Patrol Officer,19-905 OWI Investigations,Police Training,1
714,Assistant Chief of Police,Firearms Training/Qualification,Police Training,1
715,Assistant Chief of Police,Firearms Training/Qualification,Police Training,1
716,Assistant Chief of Police,Firearms Training/Qualification,Police Training,1
717,Assistant Chief of Police,Firearms Training/Qualification,Police Training,1
718,Assistant Chief of Police,Firearms Training/Qualification,Police Training,1
719,Assistant Chief of Police,Firearms Training/Qualification,Police Training,1
720,Assistant Chief of Police,Emergency Vehicle Operations (EVO),Police Training,8
721,Assistant Chief of Police,2019 Bloodborne Pathogens ,Police Training,1
722,Assistant Chief of Police,Hazardous Materials 2019,Police Training,1
723,Assistant Chief of Police,Ethical Decision Making and Intervention,Police Training,1
724,Assistant Chief of Police,2019 MACP Conference,Police Training,32
725,Assistant Chief of Police,Michigan State Police Security Awareness Training Level 1,Police Training,1
726,Assistant Chief of Police,Michigan State Police Security Awareness Training Level 2,Police Training,1
727,Assistant Chief of Police,Michigan State Police Security Awareness Training Level 3,Police Training,1
728,Assistant Chief of Police,Veterans Affairs S.A.V.E Training,Police Training,1
729,Assistant Chief of Police,Office of Highway Safety Planning OWI Investigations,Police Training,1
730,Assistant Chief of Police,MCOLES Active Duty Firearm Standard 2019,Police Training,1
731,Assistant Chief of Police,TSC Watchlisting Training,Police Training,1
732,Assistant Chief of Police,19-905 OWI Investigations,Police Training,1
733,Cadet,Sexual Harassment Training,HR Training,
734,Cadet,Diversity Training (HR),HR Training,0
735,Cadet,Customer Service Guarantee Training,HR Training,
736,Cadet,Veterans Affairs S.A.V.E Training,Police Training,1
737,Police Officer,2019 Bloodborne Pathogens ,Police Training,1
738,Police Officer,Hazardous Materials 2019,Police Training,1
739,Police Officer,Ethical Decision Making and Intervention,Police Training,1
740,Police Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
741,Police Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
742,Police Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
743,Records Clerk,LERMA Conference,Police Training,24
744,Records Clerk,2019 Bloodborne Pathogens ,Police Training,1
745,Records Clerk,Hazardous Materials 2019,Police Training,1
746,Records Clerk,Ethical Decision Making and Intervention,Police Training,1
747,Records Clerk,Michigan State Police Security Awareness Training Level 1,Police Training,1
748,Records Clerk,Michigan State Police Security Awareness Training Level 2,Police Training,1
749,Records Clerk,Michigan State Police Security Awareness Training Level 3,Police Training,1
750,Dispatcher,Every Officer a Leader,Police Training,16
751,Dispatcher,Michigan Criminal Law Introduction for Dispatchers,Police Training,8
752,Dispatcher,2019 Bloodborne Pathogens ,Police Training,1
753,Dispatcher,Hazardous Materials 2019,Police Training,1
754,Dispatcher,Ethical Decision Making and Intervention,Police Training,1
755,Dispatcher,Michigan State Police Security Awareness Training Level 1,Police Training,1
756,Dispatcher,Michigan State Police Security Awareness Training Level 2,Police Training,1
757,Dispatcher,Michigan State Police Security Awareness Training Level 3,Police Training,1
758,Dispatcher,Veterans Affairs S.A.V.E Training,Police Training,1
759,Dispatcher,You Just Never Know: Mental Preparedness,Police Training,8
760,Dispatcher,TSC Watchlisting Training,Police Training,1
761,Patrol Officer,Outdoor Rifle Training,Police Training,9
762,Patrol Officer,Taser Training,Police Training,8
763,Patrol Officer,Rifle Training and Qualification,Police Training,8
764,Patrol Officer,Michigan Traffic Safety Summit,Police Training,24
765,Patrol Officer,Firearms Training/Qualification,Police Training,1
766,Patrol Officer,Firearms Training/Qualification,Police Training,1
767,Patrol Officer,Firearms Training/Qualification,Police Training,1
768,Patrol Officer,Firearms Training/Qualification,Police Training,1
769,Patrol Officer,Firearms Training/Qualification,Police Training,1
770,Patrol Officer,Firearms Training/Qualification,Police Training,1
771,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
772,Patrol Officer,Hazardous Materials 2019,Police Training,1
773,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
774,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
775,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
776,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
777,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
778,Patrol Officer,2019 ALICE Methodology,Police Training,1
779,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
780,Patrol Officer,2019 Below 100,Police Training,1
781,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
782,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
783,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
784,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
785,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
786,Patrol Officer,2019 Accreditation Training,Community Policing,1
787,Patrol Officer,Under the Influence of Cannabis - Understanding the Highway High,Police Training,8
788,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
789,Patrol Officer,2019 Accreditation Review,Police Training,1
790,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
791,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
792,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
793,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
794,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
795,Patrol Officer,Oral Fluid Roadside Analysis Pilot Program,Police Training,4
796,Patrol Officer,TSC Watchlisting Training,Police Training,1
797,Patrol Officer,19-905 OWI Investigations,Police Training,1
798,Patrol Officer,Outdoor Rifle Training,Police Training,9
799,Patrol Officer,Rifle Training and Qualification,Police Training,8
800,Patrol Officer,Rifle Training and Qualification,Police Training,8
801,Patrol Officer,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
802,Patrol Officer,Firearms Training/Qualification,Police Training,1
803,Patrol Officer,Firearms Training/Qualification,Police Training,1
804,Patrol Officer,Emergency Vehicle Operations (EVO),Police Training,8
805,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
806,Patrol Officer,Hazardous Materials 2019,Police Training,1
807,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
808,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
809,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
810,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
811,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
812,Patrol Officer,2019 ALICE Methodology,Police Training,1
813,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
814,Patrol Officer,2019 Below 100,Police Training,1
815,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
816,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
817,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
818,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
819,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
820,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
821,Patrol Officer,2019 Accreditation Review,Police Training,1
822,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
823,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
824,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
825,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
826,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
827,Patrol Officer,TSC Watchlisting Training,Police Training,1
828,Patrol Officer,19-905 OWI Investigations,Police Training,1
829,Detective,Rifle Instructor Training & Curriculum Development,Police Training,8
830,Detective,Outdoor Rifle Training,Police Training,9
831,Detective,Rifle Training and Qualification,Police Training,8
832,Detective,Firearms Training/Qualification,Police Training,1
833,Detective,Firearms Training/Qualification,Police Training,1
834,Detective,Firearms Training/Qualification,Police Training,1
835,Detective,Firearms Training/Qualification,Police Training,1
836,Detective,Emergency Vehicle Operations (EVO),Police Training,8
837,Detective,Taser X2 Instructor Certification,Police Training,16
838,Detective,2019 Bloodborne Pathogens ,Police Training,1
839,Detective,Hazardous Materials 2019,Police Training,1
840,Detective,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
841,Detective,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
842,Detective,2019 Response to Resistance Scenarios,Police Training,4
843,Detective,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
844,Detective,2019 Home Made Explosives Recognition,Police Training,1
845,Detective,2019 ALICE Methodology,Police Training,1
846,Detective,2019 Community Policing / Problem Solving,Police Training,1
847,Detective,2019 Below 100,Police Training,1
848,Detective,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
849,Detective,2019 Employee Asssistance Program,Police Training,1
850,Detective,2019 52-1 District Court Update ,Police Training,2
851,Detective,2019 LEIN / MICR / Booking Update,Police Training,2
852,Detective,2019 Resiliance and Self Care for First Repsonders,Police Training,2
853,Detective,2019 Accreditation Training,Community Policing,1
854,Detective,Ethical Decision Making and Intervention,Police Training,1
855,Detective,2019 Accreditation Review,Police Training,1
856,Detective,Michigan State Police Security Awareness Training Level 1,Police Training,1
857,Detective,Michigan State Police Security Awareness Training Level 2,Police Training,1
858,Detective,Michigan State Police Security Awareness Training Level 3,Police Training,1
859,Detective,Gracie Survival Tactics - Instructor,Police Training,40
860,Detective,Veterans Affairs S.A.V.E Training,Police Training,1
861,Detective,MILO Simulator Training,Police Training,24
862,Detective,Office of Highway Safety Planning OWI Investigations,Police Training,1
863,Detective,Using and Understanding the Tools Provided by The SOD,Police Training,24
864,Detective,TSC Watchlisting Training,Police Training,1
865,Detective,Response to Resistance Annual Cadre Meeting,Police Training,8
866,Patrol Officer,Every Officer a Leader,Police Training,16
867,Patrol Officer,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
868,Patrol Officer,South West Oakland SRT Alpena Training Week,Police Training,30
869,Patrol Officer,Firearms Training/Qualification,Police Training,1
870,Patrol Officer,Firearms Training/Qualification,Police Training,1
871,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
872,Patrol Officer,Hazardous Materials 2019,Police Training,1
873,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
874,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
875,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
876,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
877,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
878,Patrol Officer,2019 ALICE Methodology,Police Training,1
879,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
880,Patrol Officer,2019 Below 100,Police Training,1
881,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
882,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
883,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
884,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
885,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
886,Patrol Officer,2019 Accreditation Training,Community Policing,1
887,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
888,Patrol Officer,2019 Accreditation Review,Police Training,1
889,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
890,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
891,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
892,Patrol Officer,Bulletproof: Policing in Today's Society,Police Training,8
893,Patrol Officer,Gracie Survival Tactics - Instructor,Police Training,40
894,Patrol Officer,2019 OTOA Conference (Ohio Tactical Officers Association),Police Training,40
895,Patrol Officer,MILO Simulator Training,Police Training,24
896,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
897,Patrol Officer,MCOLES Active Duty Firearm Standard 2019,Police Training,1
898,Patrol Officer,TSC Watchlisting Training,Police Training,1
899,Patrol Officer,19-905 OWI Investigations,Police Training,1
900,Patrol Officer,Response to Resistance Annual Cadre Meeting,Police Training,8
901,Dispatcher,Every Officer a Leader,Police Training,16
902,Dispatcher,2019 Bloodborne Pathogens ,Police Training,1
903,Dispatcher,Hazardous Materials 2019,Police Training,1
904,Dispatcher,Ethical Decision Making and Intervention,Police Training,1
905,Dispatcher,Michigan State Police Security Awareness Training Level 1,Police Training,1
906,Dispatcher,Michigan State Police Security Awareness Training Level 2,Police Training,1
907,Dispatcher,Michigan State Police Security Awareness Training Level 3,Police Training,1
908,Dispatcher,Michigan State Police Security Awareness Training Level 4,Police Training,1
909,Dispatcher,911 Homicide: Is the Caller the Killer,Police Training,16
910,Dispatcher,Veterans Affairs S.A.V.E Training,Police Training,1
911,Dispatcher,TSC Watchlisting Training,Police Training,1
912,Records Clerk,2019 Bloodborne Pathogens ,Police Training,1
913,Records Clerk,Hazardous Materials 2019,Police Training,1
914,Records Clerk,Ethical Decision Making and Intervention,Police Training,1
915,Records Clerk,Michigan State Police Security Awareness Training Level 1,Police Training,1
916,Records Clerk,Michigan State Police Security Awareness Training Level 2,Police Training,1
917,Records Clerk,Michigan State Police Security Awareness Training Level 3,Police Training,1
918,Records Clerk,LERMA - Firearm Purchase Permits and Prohibitors,Police Training,8
919,Records Clerk,"CLEMIS Training for Investigators, Supervisors, and Records Personnel ",Police Training,2
920,Cadet,Ethical Decision Making and Intervention,Police Training,1
921,Cadet,Michigan State Police Security Awareness Training Level 1,Police Training,1
922,Cadet,Michigan State Police Security Awareness Training Level 2,Police Training,1
923,Cadet,Michigan State Police Security Awareness Training Level 3,Police Training,1
924,Cadet,Veterans Affairs S.A.V.E Training,Police Training,1
925,Cadet,TSC Watchlisting Training,Police Training,1
926,Property Officer,2019 Bloodborne Pathogens ,Police Training,1
927,Property Officer,Hazardous Materials 2019,Police Training,1
928,Property Officer,Ethical Decision Making and Intervention,Police Training,1
929,Property Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
930,Property Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
931,Property Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
932,Patrol Officer,Taser Training,Police Training,8
933,Patrol Officer,Rifle Training and Qualification,Police Training,8
934,Patrol Officer,Rifle Training and Qualification,Police Training,8
935,Patrol Officer,Rifle Training and Qualification,Police Training,8
936,Patrol Officer,Rifle Training and Qualification,Police Training,8
937,Patrol Officer,South West Oakland SRT Alpena Training Week,Police Training,30
938,Patrol Officer,Firearms Training/Qualification,Police Training,1
939,Patrol Officer,Firearms Training/Qualification,Police Training,1
940,Patrol Officer,Firearms Training/Qualification,Police Training,1
941,Patrol Officer,Firearms Training/Qualification,Police Training,1
942,Patrol Officer,Firearms Training/Qualification,Police Training,1
943,Patrol Officer,Emergency Vehicle Operations (EVO),Police Training,8
944,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
945,Patrol Officer,SFST Instructor Course,Police Training,36
946,Patrol Officer,Hazardous Materials 2019,Police Training,1
947,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
948,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
949,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
950,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
951,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
952,Patrol Officer,2019 ALICE Methodology,Police Training,1
953,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
954,Patrol Officer,2019 Below 100,Police Training,1
955,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
956,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
957,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
958,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
959,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
960,Patrol Officer,2019 Accreditation Training,Community Policing,1
961,Patrol Officer,Under the Influence of Cannabis - Understanding the Highway High,Police Training,8
962,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
963,Patrol Officer,2019 Accreditation Review,Police Training,1
964,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
965,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
966,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
967,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
968,Patrol Officer,2019 OTOA Conference (Ohio Tactical Officers Association),Police Training,40
969,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
970,Patrol Officer,MCOLES Active Duty Firearm Standard 2019,Police Training,1
971,Patrol Officer,TSC Watchlisting Training,Police Training,1
972,Patrol Officer,19-905 OWI Investigations,Police Training,1
973,Police Officer,Datamaster DMT,Police Training,2.5
974,Police Officer,Rifle Training and Qualification,Police Training,8
975,Police Officer,Rifle Training and Qualification,Police Training,8
976,Police Officer,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
977,Police Officer,OakTac Active Shooter Response Training,Police Training,16
978,Police Officer,Firearms Training/Qualification,Police Training,1
979,Police Officer,Firearms Training/Qualification,Police Training,1
980,Police Officer,Firearms Training/Qualification,Police Training,1
981,Police Officer,Firearms Training/Qualification,Police Training,1
982,Police Officer,2019 Bloodborne Pathogens ,Police Training,1
983,Police Officer,Hazardous Materials 2019,Police Training,1
984,Police Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
985,Police Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
986,Police Officer,2019 Response to Resistance Scenarios,Police Training,4
987,Police Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
988,Police Officer,2019 Home Made Explosives Recognition,Police Training,1
989,Police Officer,2019 ALICE Methodology,Police Training,1
990,Police Officer,2019 Community Policing / Problem Solving,Police Training,1
991,Police Officer,2019 Community Policing / Problem Solving,Police Training,1
992,Police Officer,2019 Below 100,Police Training,1
993,Police Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
994,Police Officer,2019 Employee Asssistance Program,Police Training,1
995,Police Officer,2019 52-1 District Court Update ,Police Training,2
996,Police Officer,2019 LEIN / MICR / Booking Update,Police Training,2
997,Police Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
998,Police Officer,Ethical Decision Making and Intervention,Police Training,1
999,Police Officer,2019 Accreditation Review,Police Training,1
1000,Police Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
1001,Police Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
1002,Police Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
1003,Police Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
1004,Police Officer,TSC Watchlisting Training,Police Training,1
1005,Police Officer,19-905 OWI Investigations,Police Training,1
1006,Patrol Sergeant,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
1007,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
1008,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
1009,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
1010,Patrol Sergeant,EAP Training for Supervisors,Police Training,1
1011,Patrol Sergeant,18-909 Avon C50 Gas Mask Training,Police Training,1
1012,Patrol Sergeant,2019 Bloodborne Pathogens ,Police Training,1
1013,Patrol Sergeant,Hazardous Materials 2019,Police Training,1
1014,Patrol Sergeant,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
1015,Patrol Sergeant,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
1016,Patrol Sergeant,2019 Response to Resistance Scenarios,Police Training,4
1017,Patrol Sergeant,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
1018,Patrol Sergeant,2019 Home Made Explosives Recognition,Police Training,1
1019,Patrol Sergeant,2019 ALICE Methodology,Police Training,1
1020,Patrol Sergeant,2019 Community Policing / Problem Solving,Police Training,1
1021,Patrol Sergeant,2019 Below 100,Police Training,1
1022,Patrol Sergeant,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
1023,Patrol Sergeant,2019 Employee Asssistance Program,Police Training,1
1024,Patrol Sergeant,2019 52-1 District Court Update ,Police Training,2
1025,Patrol Sergeant,2019 LEIN / MICR / Booking Update,Police Training,2
1026,Patrol Sergeant,2019 Resiliance and Self Care for First Repsonders,Police Training,2
1027,Patrol Sergeant,Ethical Decision Making and Intervention,Police Training,1
1028,Patrol Sergeant,2019 Accreditation Review,Police Training,1
1029,Patrol Sergeant,Michigan State Police Security Awareness Training Level 1,Police Training,1
1030,Patrol Sergeant,Michigan State Police Security Awareness Training Level 2,Police Training,1
1031,Patrol Sergeant,Michigan State Police Security Awareness Training Level 3,Police Training,1
1032,Patrol Sergeant,Veterans Affairs S.A.V.E Training,Police Training,1
